,Rank,Bank_name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,1,Industrial and Commercial Bank of China,6303.44,5042.75,5862.2,522870.35
1,2,Agricultural Bank of China,5623.12,4498.5,5229.5,466437.8
2,3,China Construction Bank,5400.28,4320.22,5022.26,447953.23
3,4,Bank of China,4578.28,3662.62,4257.8,379768.33
4,5,JPMorgan Chase,4002.81,3202.25,3722.61,332033.09
5,6,Bank of America,3349.42,2679.54,3114.96,277834.39
6,7,HSBC,2919.84,2335.87,2715.45,242200.73
7,8,BNP Paribas,2867.44,2293.95,2666.72,237854.15
8,9,Mitsubishi UFJ Financial Group,2816.77,2253.42,2619.6,233651.07
9,10,Crédit Agricole,2736.95,2189.56,2545.36,227030.0
10,11,Postal Savings Bank of China,2217.86,1774.29,2062.61,183971.49
11,12,Citigroup,2200.83,1760.66,2046.77,182558.85
12,13,SMBC Group,2027.34,1621.87,1885.43,168167.85
13,14,Banco Santander,1986.36,1589.09,1847.31,164768.56
14,15,Bank of Communications,1982.89,1586.31,1844.09,164480.73
15,16,Wells Fargo,1932.47,1545.98,1797.2,160298.39
16,17,Mizuho Financial Group,1923.56,1538.85,1788.91,159559.3
17,18,Barclays,1891.72,1513.38,1759.3,156918.17
18,19,Société Générale,1717.49,1373.99,1597.27,142465.8
19,20,UBS,1717.25,1373.8,1597.04,142445.89
20,21,Groupe BPCE,1706.8,1365.44,1587.32,141579.06
21,22,Goldman Sachs,1641.59,1313.27,1526.68,136169.89
22,23,Japan Post Bank,1625.6,1300.48,1511.81,134843.52
23,24,Royal Bank of Canada,1566.41,1253.13,1456.76,129933.71
24,25,China Merchants Bank,1555.3,1244.24,1446.43,129012.14
25,26,Deutsche Bank,1450.57,1160.46,1349.03,120324.78
26,27,Industrial Bank (China),1432.59,1146.07,1332.31,118833.34
27,28,Toronto-Dominion Bank,1428.29,1142.63,1328.31,118476.66
28,29,China CITIC Bank,1276.63,1021.3,1187.27,105896.46
29,30,Crédit Mutuel,1262.95,1010.36,1174.54,104761.7
30,31,Shanghai Pudong Development Bank,1207.18,965.74,1122.68,100135.58
31,32,Morgan Stanley,1193.69,954.95,1110.13,99016.59
32,33,Lloyds Banking Group,1122.76,898.21,1044.17,93132.94
33,34,China Minsheng Bank,1082.37,865.9,1006.6,89782.59
34,35,ING Group,1078.35,862.68,1002.87,89449.13
35,36,Intesa Sanpaolo,1066.74,853.39,992.07,88486.08
36,37,Scotiabank,1041.11,832.89,968.23,86360.07
37,38,Bank of Montreal,990.19,792.15,920.88,82136.26
38,39,China Everbright Bank,955.14,764.11,888.28,79228.86
39,40,NatWest Group,882.3,705.84,820.54,73186.78
40,41,UniCredit,872.9,698.32,811.8,72407.06
41,42,Commonwealth Bank,868.74,694.99,807.93,72061.98
42,43,Banco Bilbao Vizcaya Argentaria,857.25,685.8,797.24,71108.89
43,44,Standard Chartered,822.84,658.27,765.24,68254.58
44,45,La Banque postale,815.91,652.73,758.8,67679.73
45,46,Ping An Bank,787.93,630.34,732.77,65358.79
46,47,State Bank of India,780.05,624.04,725.45,64705.15
47,48,ANZ Group,769.59,615.67,715.72,63837.49
48,49,Canadian Imperial Bank of Commerce,726.27,581.02,675.43,60244.1
49,50,DZ Bank,712.49,569.99,662.62,59101.05
50,51,Norinchukin Bank,702.03,561.62,652.89,58233.39
51,52,National Australia Bank,683.41,546.73,635.57,56688.86
52,53,Rabobank,678.45,542.76,630.96,56277.43
53,54,CaixaBank,671.13,536.9,624.15,55670.23
54,55,Westpac,664.5,531.6,617.98,55120.28
55,56,U.S. Bancorp,663.49,530.79,617.05,55036.5
56,57,Nordea,662.71,530.17,616.32,54971.79
57,58,Capital One,629.99,503.99,585.89,52257.67
58,59,Sberbank of Russia,581.88,465.5,541.15,48266.95
59,60,Commerzbank,571.64,457.31,531.63,47417.54
60,61,Huaxia Bank,562.58,450.06,523.2,46666.01
61,62,PNC Financial Services,561.58,449.26,522.27,46583.06
62,63,DBS Group,560.1,448.08,520.89,46460.3
63,64,Itaú Unibanco,555.72,444.58,516.82,46096.97
64,65,KB Financial Group,551.94,441.55,513.3,45783.42
65,66,Danske Bank,542.81,434.25,504.81,45026.09
66,67,Truist Financial Corp,535.35,428.28,497.88,44407.28
67,68,Shinhan Financial Group,533.48,426.78,496.14,44252.17
68,69,Resona Holdings,527.53,422.02,490.6,43758.61
69,70,Sumitomo Mitsui Trust Holdings,520.34,416.27,483.92,43162.2
70,71,Bank of Beijing,503.31,402.65,468.08,41749.56
71,72,China Guangfa Bank,495.55,396.44,460.86,41105.87
72,73,Charles Schwab Corporation,493.18,394.54,458.66,40909.28
73,74,HDFC Bank,464.34,371.47,431.84,38517.0
74,75,Bank of Jiangsu,457.25,365.8,425.24,37928.89
75,76,Hana Financial Group,456.47,365.18,424.52,37864.19
76,77,Banco do Brasil,447.72,358.18,416.38,37138.37
77,78,Nationwide Building Society,446.95,357.56,415.66,37074.5
78,79,China Zheshang Bank,443.37,354.7,412.33,36777.54
79,80,Oversea-Chinese Banking Corporation,441.53,353.22,410.62,36624.91
80,81,Bank of Shanghai,435.14,348.11,404.68,36094.86
81,82,ABN AMRO,417.72,334.18,388.48,34649.87
82,83,BNY,409.88,327.9,381.19,33999.55
83,84,United Overseas Bank,396.62,317.3,368.86,32899.63
84,85,Banco Bradesco,394.76,315.81,367.13,32745.34
85,86,Nonghyup Bank,394.46,315.57,366.85,32720.46
86,87,Nomura Holdings,388.42,310.74,361.23,32219.44
87,88,Woori Financial Group,384.04,307.23,357.16,31856.12
88,89,KBC Group,383.47,306.78,356.63,31808.84
89,90,Caixa Econômica Federal,377.29,301.83,350.88,31296.21
90,91,Erste Group,372.67,298.14,346.58,30912.98
91,92,Landesbank Baden-Württemberg,368.41,294.73,342.62,30559.61
92,93,Bank of Ningbo,365.96,292.77,340.34,30356.38
93,94,SEB Group,358.79,287.03,333.67,29761.63
94,95,Raiffeisen Group,352.87,282.3,328.17,29270.57
95,96,Handelsbanken,351.79,281.43,327.16,29180.98
96,97,Industrial Bank of Korea,345.81,276.65,321.6,28684.94
97,98,DNB,339.21,271.37,315.47,28137.47
98,99,Qatar National Bank,338.14,270.51,314.47,28048.71
99,100,National Bank of Canada,337.65,270.12,314.01,28008.07
